,,Station Code Index,,,,,
,ROURKELA,ROU ,SHORANUR JN.,SRR ,THANJAVUR,TJ ,VIZIANAGARAM,VZM ,
,SABARMATI,SBIB ,SHRI MATA VAISHNO DEVI KATRA,SVDK,THIRUVARUR.,TVR ,YELAHANKA JN,YNK,
,SADULPUR,SDLP ,SHRI MAHABIRJI,SMBJ ,TIKAMGARH,TKMG ,YOGNAGARI RISHIKESH,YNRK ,
,SAGAR JAMBAGARU,SRF ,SIHOR GUJARAT,SOJN ,TILAK BRIDGE,TKJ,VRIDDHACHALAM JN.,VRI ,
,SAGAULI,SQL ,SIKAR,SIKR ,TINSUKIA,TSK,WADI,WADI ,
,SAGOUR,SCO ,SILCHAR,SCL ,TIRUCHCHIRAPPALLI JN.,TPJ ,WANKANER,WKR ,
,SAHARANPUR,SRE ,SILGHAT,SHTT ,TIRUCHENDUR,TCN ,WARANGAL,WL ,
,SAHARSA,SHC ,SILIGURI,SGUJ ,TIRUNELVELI,TEN ,WARDHA JN.,WR ,
TAG-26,SAHIBGANJ,SBG ,SILIGURI TOWN,SGUT ,TIRUPPADIRIPPULIYUR,TDPR ,YESVANTPUR,YPR ,
,,,SIMALUGURI,SLGR ,TIRUPATI,TPTY ,ZAFARABAD,ZBD ,
,,,,8,,,,,
