country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-03-2026 11:00:00",25.586562,85.043586,PM10,100,488,209
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.647622,77.3158090,NH3,1,4,2
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-03-2026 11:00:00",25.586562,85.043586,CO,34,114,65
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.695381,77.181665,PM10,64,334,175
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.695381,77.181665,NO2,17,123,60
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","15-03-2026 11:00:00",25.592539,85.227158,NH3,4,5,5
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","15-03-2026 11:00:00",28.4706914,77.1099364,PM2.5,6,269,120
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","15-03-2026 11:00:00",25.592539,85.227158,CO,32,117,85
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","15-03-2026 11:00:00",28.4706914,77.1099364,PM10,41,361,187
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","15-03-2026 11:00:00",25.610369,85.132568,NO2,1,3,2
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-03-2026 11:00:00",28.776200,77.051074,PM10,74,500,199
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-03-2026 11:00:00",28.776200,77.051074,NO2,7,70,30
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-03-2026 11:00:00",28.776200,77.051074,NH3,4,7,5
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-03-2026 11:00:00",28.776200,77.051074,CO,20,113,33
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-03-2026 11:00:00",25.599486,85.113666,NH3,4,4,4
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-03-2026 11:00:00",25.599486,85.113666,SO2,3,13,6
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-03-2026 11:00:00",28.5512005,77.2735737,NO2,50,78,64
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","15-03-2026 11:00:00",28.60909,77.0325413,SO2,11,21,14
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","15-03-2026 11:00:00",21.258815,81.578979,CO,24,84,40
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-03-2026 11:00:00",28.570173,76.933762,NO2,NA,NA,NA
