,Nauchandi Exp,14141/14142,Prayagraj Sangam,Saharanpur,88,,,Nanded,,
,Nautanwa Exp,18201,Durg,Nautanwa,38.81,Paradeep Exp,18414,Puri,Paradeep,32
,Nautanwa Exp,18205,Durg,Nautanwa,"38,81",Paradeep Exp,22810,Vishakapatnam,ParadeeP,30A
,Naviivan Exp,12655/12656,Ahmedabad,MGR Chennai,46,Paradeep Exp,22813,Santragachi,Paradeep,32A
,,,,Central,,Parasnath Exp,12941/12942,Ahmedabad,Asansol,"3,33,65"
,Neelanchal Exp,12875/12876,Puri,Anand Vihar (T),32,Parasuram Exp,16649/16650,Mangaluru Central,Kanniyakumari,85
,Netaji Exp,12311/12312,Howrah,Kalka,1,Paschim Exp,12925/12926,Bandra (T),Amritsar,"3,15"
,Nellai Exp,12631/12632,Chennai Egmore,Tirunelveli,21,Patalkot Exp,20424/20423,Seoni,Firozpur Cantt,2
,Netravati Exp,16345/16346,Lokmanya Tilak (T),Thiruvananthapuram,26,Pathankot Exp,22429/22430,Delhi,Pathankot (via ASR),15
,New Cooch Behar Exp.,13147,Sealdah,New Coochbehar,14,Patliputra Exp,12141,Lokmanya Tilak (T),Patliputra,24
,New Delhi Exp,12427,Rewa,New Delhi,"1A,6A",Patliputra Exp,12530,Lucknow,Patliputra,22
,New Delhi Exp,14003,Malda Town,New Delhi,18A,Patliputra Exp,22355/22356,Chandigarh,Patliputra,88
,New Delhi Exp,14315,Bareilly,New Delhi,55,Patna Exp,12741,Vasco-de-Gama,Patna,"24,26"
,New Delhi Exp,14324,Rohtak,New Delhi,16,Patna Exp,12791,Secunderabad,Danapur,17A
,New Delhi Exp,22403,Puducherry,New Delhi,"8A,78A",Patna Exp,13238,Kota,Patna,79
,New Delhi Exp,12415,Indore,New Delhi,3A,Patna Exp,13240,Kota,Patna,79
,Lucknow Mail,12229/12230,Lucknow,New Delhi,25A,Patna Exp,13331,Dhanbad,Patna,36
,New Jalpaiguri Exp.,19601,Udaipur City,New Jalpaiguri,"18,23A,54",Patna Exp,13415,Malda Town,Patna,93
,New Jalpaiguri Exp.,22611,MGR Chennai,New Jalpaiauri,29A,Patna Exp,22669,Ernakulam Jn,Patna,"17A,86A"
,,,Central,,,Patna Exp,17610,Purna,Patna,"17A,24,53"
,New Jalpaiguri Passr.,52540,Darjeeling,New Jalpaiauri,95,Patna Exp,18622,Hatia,Patna,36
,Dibrugarh Exp,13282,Rajendra Nagar,Dibrugarh,"18,66A,74A",Patna Exp,19049,Bandra (T),Patna,24
,Dibrugarh Exp,15945/15946,Lokmanya Tilak (T),Dibrugarh,"18,24,66",Patna Exp,19421,Ahmedabad,Patna,"3A,32A"
,New Tinsukia Exp,22501/22502,SMVT Bengaluru,New Tinsukia,"20A,29A,66,7,4",Patna Exp,22643,Ernakulam Jn,Patna,"29A,86A"
,,,Central,,,Pearl City Exp,12693/12694,Chennai Egmore,Tuticorin,21
,Nilqiri Exp,12671/12672,MGR Chennai,Mettupalayam,86,Penchvalley Exp,19343/19344,Indore,Nainpur,8A
,,,Central,,,Pinakini Exp,12711/12712,Vijayawada,MGR Chennai,71
,Nizamuddin Exp,22167,Singrauli,H.Nizamuddin,"73,56",,,,Central,
,Nizamuddin Exp,12147,Chhatrapati Shahu,H. Nizamuddin,"9A,19A",Poorbiya Exp,15279/15280,Saharsa,Anand Vihar (T),22
,,,Maharaj (T),,,Poorna Exp,11097/11098,Pune,Ernakulam Jn,"19,26"
,Nizamuddin Exp,12643,Thiruvananthapuram,H. Nizamuddin,"8A,86A",Poorva Exp,12303/12304,Howrah (via Patna),New Delhi,1
,Nizamuddin Exp,22181,Jabalpur,H. Nizamuddin,56,Poorva Exp,12381/12382,Howrah (via Gaya),New Delhi,1
,Nizamuddin Exp,22633,Thiruvananthapuram,H. Nizamuddin,"26A,3A",Poorvanchal Exp,15047/15048,Kolkata,Gorakhpur,37
,Nizamuddin Exp,22653,Thiruvananthapuram,H. Nizamuddin,26,Poorvottar SamPark,22450,Guwahati,New Delhi,18
,Nizamuddin Exp,22655,Ernakulam Jn,H. Nizamuddin,26,Kranti Exp,,,,
,Nizamuddin Exp,12192,Jabalpur,H. Nizamuddin,56,Porbandar Exp,12906,Shalimar,Porbandar,34A
,Nizamuddin Exp,20657,SSS Hubballi,H. Nizamuddin,"9,19",Porbandar Exp,20909,Thiruvananthapuram,Porbandar,"11,26A,76"
,North East Exp,12505/12506,Kamakhya,Anand Vihar (T),"1,18",Porbandar Exp,20938,Delhi Sarai Rohila,Porbandar,"2,3,11"
,Odisha Samoark Kranti,12819/12820,Bhubaneswar,Anand Vihar (T),32,Porbandar Exp,19270,Muzaffarpur,Porbandar,"11,22A,23,64A"
,Okha Exp,15045,Gorakhpur,Okha,"11,33A",Porbandar Exp,19571,Rajkot,Porbandar,11
TAG-26,Okha Exp,16338,Ernakulam Jn,Okha,26A,Pothigai Exp,12661/12662,Chennai Egmore,Sengottai,21
,Okha Exp,16733,Rameshwaram,Okha,"70,71,53A,31A,11",,,,,
,,,,,40,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Pragati Exp,12125/12126,Chhatrapati Shivaji,Pune,19,Puri Exp,22860,MGR Chennai,Puri,7,
,,Maharaj (T),,,,,Central,,,
Prasanti Exp,18463/18464,Bhubaneswar,KSR Bengaluru,"7,49",Puri Exp,22865,Lokmanya Tilak (T),Puri,"5A,30,78",
Pratap Exp,12495/12496,Bikaner,Kolkata,"23,65",Puri Exp,22884,Yesvantpur,Puri,"49,7",
Pratapgarh Exp,12183,Bhopal,Maa Belha Devi,35A,Puri Exp,22909,Valsad,Puri,"3A,43,78A",
,,,Dham Pratapgarh,,Puri Exp,22973,Gandhidham,Puri,"34,78",
Pratham Swatantrata,14124,Kanpur Central,Maa Belha Devi,25,Purna Exp,17609,Patna,Purna,"17,24A,53A",
,,,Dham Pratapgarh,,Purnagiri Jan Shatabdi,12035/12036,Tanakpur,Delhi,55,
Prayag Exp,14102,Kanpur Central,Prayagraj Sangam,1,Exp,,,,,
Prayag Exp,14308,Bareilly,Prayagraj Sangam,25,Purulia Exp,22606,Tirunelveli,Purulia,"7A,87",
Prayagraj Exp,12417/12418,Prayagraj,New Delhi,1,Purushottam Exp,12801/12802,Puri,Anand Vihar (T),32,
Prerana Exp,22138/22137,Rajkot,Nagpur,34,Pushpak Exp,12533/12534,Gomti Nagar,Chhatrapati Shivaji,35,
Prayagraj Exp,12403/12404,Lalgarh,Prayagraj,"1, 1A, 80",,,,Maharaj (T),,
Prayagraj Exp,14126,Mankapur,Prayagraj Sangam,"25,81A",Rae Bareli Exp,14201,Jaunpur,Rae Bareli,25A,
Prayagraj Exp,22403/22404,Lalgarh,Prayagraj,"1,80",Rajgir Exp,13254,Howrah,Rajgir,"37,67",
Prayagraj Exp,22968,Prayagraj,Ahmedabad20506,"24A,46A",Rajasthan Humsafar,22985/22986,Udaipur,Delhi Sarai Rohilla,"23,54",
Puducherry Exp,12867,Howrah,Puducherry,"7,21",Exp,,,,,
Puducherry Exp,20851,Bhubaneswar,Puducherry,"7,21",Raipur Exp,12771/12772,Secunderabad,Raipur,5,
Puducherry Exp,16573,Yesvantpur,Puducherry,69,Rajya Rani Exp,15818/15817,Silahat,Dhubri,"66,74",
Puducherry Exp,16856,Mangaluru Central,Puducherry,"21,22,86A",Rajya Rani Exp,16349/16350,Thiruvanthapuram,Nilambur Road,86,
Puducherry Exp,16858,Mangaluru Central,Puducherry,86,,,North,,,
Puducherry Exp,16862,Kanniyakumari,Puducherry,21,Rajya Rani Exp,18117/18118,Rourkela,Gunupur,78,
Puducherry Exp,22404,New Delhi,Puducherry,8,Rajya Rani Exp,17612/17611,CSMT,Nanded,24,
Puducherry Exp,11005/11006,Dadar,Puducherry,"19,20,21",Rajya Rani Exp,22161/22162,Damoh,Bhopal,43,
Pune Barhni Exp,11037/11038,Pune,Barhni,"6,63",Rajya Rani Exp,22453/22454,Meerut City,Lucknow,88,
Pune Exp,11025,Bhusawal,Pune,91,Rajya Rani Exp,22901/22902,Bandra (T),Udaipur City,"3,54",
Pune Exp,11034,Darbhanga,Pune,"6A,22A,44A",Rajasthan Sampark,12463/12464,Delhi Sarai Rohilla,Jodhpur,23,
Pune Exp,11087,Veraval,Pune,"31,76",Kranti Exp,,,,,
Pune Exp,11089,Bhagat Ki Kothi,Pune,"23,31",Rajdhani Exp,12301/12302,Howrah,New Delhi,1,
Pune Exp,11091,Bhuj,Pune,31,Rajdhani Exp,12305/12306,Howrah,New Delhi,1,
Pune Exp,22194,Gwalior,Daund,4A,Rajdhani Exp,12309/12310,Rajendra Nagar,New Delhi,1,
Pune Exp,11408,Lucknow,Pune,"35A,44A",Rajdhani Exp,12313/12314,Sealdah,New Delhi,1,
Pune Exp,12104,Lucknow,Pune,35,Rajdhani Exp,12423/12424,Dibrugarh Town,New Delhi,"66,18",
Pune Exp,12136,Nagpur,Pune,44A,Rajdhani Exp,12425/12426,New Delhi,Jammu Tawi,16,
Pune Exp,12849,Bilaspur,Pune,"5,44A",Rajdhani Exp,12431/12432,Thiruvananthapuram,H. Nizamuddin,"3,26",
Pune Exp,12940,Jaipur,Pune,3,Rajdhani Exp,12433/12434,MGR Chennai,H. Nizamuddin,8,
Pune Exp,15029,Gorakhpur,Pune,"35,44A",,,Central,,,
Pune Exp,17014,Hyderabad,Hadapsar,53A,Rajdhani Exp,12437/12438,Secunderabad,H. Nizamuddin,9,
Pune Exp,19312,Indore,Pune,"3,91",Rajdhani Exp,12441/12442,Bilaspur,New Delhi,42,
Pune Exp,22132,Banaras,Pune,"6A,22A,44",Rajdhani Exp,12453/12454,Ranchi,New Delhi,41,
Pune Exp,22149,Eranakulam,Pune,"91,26A",Rajdhani Exp,12951/12952,Mumbai Central,New Delhi,3,
Pune Exp,18634,Hatia,Pune,"5A,44",Rajdhani Exp,20407/20408,Ranchi,New Delhi,41,
Pune Exp,22882,Bhubaneswar,Pune,"10A,30",Tejas Rajdhani Exp,20501/20502,Agartala,Anand Vihar,"18,83",
Pune Exp,22944,Indore,Pune,"3,31",Rajdhani Exp,20503/20504,Dibrugarh,New Delhi,"66,18",
Pune Exp,16382,Kanniyakumari,Pune,"10,70",Rajdhani Exp,20505/20506,Dibrugarh,New Delhi,"66,18",
Puniab Mail,12137/12138,Chhatrapati Shivaji,Firozpur,"2,4,39",Rajdhani Exp,20507/20508,Sairang,Anand Vihar (T),"18,18A,83,83A",
,,Maharaj (T),,,Rajdhani Exp,20839/20840,Ranchi,New Delhi,41,
Puri Exp,12145,Lokmanya Tilak (T),Puri,"5A,78",Rajdhani Exp,22221/22222,Chhatrapati Shivaji,H. Nizamuddin,1,
Puri Exp,12579,Digha,Puri,7,,,Maharaj (T),,,
Puri Exp,12837,Howrah,Puri,7,Rajdhani Exp,22413/22414,H. Nizamuddin,Madaaon,"3,26",
Puri Exp,12844,Ahmedabad,Puri,"34,46",Rajdhani Exp,22691/22692,KSR Bengaluru,H. Nizamuddin,9,
Puri Exp,12887,Shalimar,Puri,7,Rajdhani Exp,22811/22812,Bhubaneswar,New Delhi,32,
Puri Exp,12895,Shalimar,Puri,7,Rajdhani Exp,20817/20818,Bhubaneswar,New Delhi,"32,78",
Puri Exp,12994,Gandhidham,Puri,"34,78",Rajdhani Exp,22823/22824,Bhubaneswar,New Delhi,32,
Puri Exp,14709,Bikaner,Puri,"3,27,278",Rajendranagar Exp.,13281,Dibrugarh,Rajendra Nagar,"18A,66,74",
Puri Exp,15640,Kamakhya,Puri,29,Rajendranagar Exp.,19313,Indore,Rajendra Nagar,35A,
Puri Exp,15644,Kamakhya,Puri,"29,74A",Rajendranagar Exp.,19321,Indore,Rajendra Nagar,35A,
Puri Exp,17480,Tirupati,Puri,7A,Rajendranagar Exp.,13241,Banka,Rajendra Nagar,24,
Puri Exp,18303,Sambalpur,Puri,78,Rajkot Exp,16614,Coimbatore,Rajkot,31,
Puri Exp,18406,Ahmedabad,Puri,"78,34,46",Rajkot Exp,22718,Secunderabad,Rajkot,31,
Puri Exp,20585,Sai Nagar Shirdi,Puri,"34,44",Rajkot Exp,20914,Delhi Sarai Rohilla,Rajkot,"11,23",
Puri Exp,18413,Paradeep,Puri,32A,Rajkot Exp,22938,Rewa,Rajkot,"6A,34A",
Puri Exp,18415,BarbiI,Puri,32A,Rajya Rani Exp,15417/15418,Alipurduar,Silghat Town,74,
Puri Exp,18420,Jaynagar,Puri,"32A,37",Rajya Rani Exp,15509/15510,Lalitgram,Patna,90,
Puri Exp,18426,Durg,Puri,"78,34",Rajya Rani Exp,15503/15504,Saharsa,Patna,90,
Puri Exp,20814,Jodhpur,Puri,"3,5A,23A,42,78",Rajya Rani Exp,20659/20660,Mysuru,KSR Bengaluru,20,
Puri Exp,22835,Shalimar,Puri,7,Rameshwaram Exp,22536,Banaras,Rameshwaram,"17,21",
,,,,,Rameshwaram Exp,16751,Chennai Egmore,Rameshwaram,21,TAG-26
,,,,,41,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Rameshwaram Exp,16618,Coimbatore,Rameshwaram,"69,21",Sachkhand Exp,12715/12716,Hazur Sahib Nanded,Amritsar,"15,53"
,Rameshwaram Exp,22661,Chennai Egmore,Rameshwaram,21,Sadhbhavana Exp,14007/14008,Raxaul,Anand Vihar (T),"22,25"
,Rameshwaram Exp,16733,Okha,Rameshwaram,"11A,31,53,70,71A",Sadhbhavana Exp,14013/14014,Sultanpur,Anand Vihar (T),25
,Rameshwaram Exp,16103/16104,Tambaram,Rameshwaram,21,Sadhbhavana Exp,14015/14016,Raxaul,Anand Vihar (T),"22,25,64"
,Rameshwaram Exp,16779,Tirupati,Rameshwaram,21,Sadhbhavana Exp,14017/14018,Raxaul,Anand Vihar (T),"22,25"
,Rameshwaram Exp,20849,Bhubaneswar,Rameshwaram,"7,21",Sainik Exp,19701/19702,Jaipur,Delhi Cantt.,59
,Rameshwaram Exp,22622,Kanniyakumari,Rameshwaram,21A,Saharanpur Exp,14545,Delhi,Saharanpur,84
,Ramnagar Exp,12528,Chandigarh,Ramnagar,"13A,55",Saharsa-SMVT,22351/22352,Saharsa,SMVT Bengaluru,"17,20"
,Ramnagar Exp,15055,Agra Fort,Ramnagar,82,Bengaluru Exp,,,,
,Ramnagar Exp,22975,Bandra (T),Ramnagar,"3,82",Sarvat Da Bhala,22479/22480,New Delhi,Lohian Khas Jn.,16
,Rampurhat Exp,12347,Howrah,Rampurhat,14,Sai Nagar Shirdi Exp.,22894,Howrah,Sai Nagar Shirdi,5
,Rampurhat Exp,13187,Sealdah,Rampurhat,"14,14A",Sai Nagar Shirdi Exp.,16217,Mysuru,Sai Nagar Shirdi,"60,19,20A,10"
,Ranakpur Exp,14707/14708,Hanumangarh,Dadar,"11A,23,45",Sai Nagar Shirdi Exp.,12131/12132,Dadar,Sai Nagar Shirdi,53
,Ranchi Exp,13319,Godda,Ranchi,36A,Sai Nagar Shirdi Exp.,22147/22148,Dadar,Sai Nagar Shirdi,53
,Ranchi Exp,15662,Kamakhya,Ranchi,"29,73,74A",,,,,
,,,,,Sai Nagar Shirdi Exp.,17002,Secunderabad,Sai Nagar Shirdi,"30,53A",
,Ranchi Exp,18612,Banaras,Ranchi,41A,,,,,
,,,,,Sai Nagar Shirdi Exp.,17206,Kakinada Town,Sai Nagar Shirdi,"30,53A",
,Ranchi Exp,18604,Godda,Ranchi,,,,,,
,,,,,Sai Nagar Shirdi Exp.,17208,Vijayawada,Sai Nagar Shirdi,53A,
,Ranchi Exp,18614,Chopan,Ranchi,41A,,,,,
,,,,,Sai Nagar Shirdi Exp.,20857,Puri,Sai Nagar Shirdi,"34A,44A",
,Ranchi Exp,18620,Dumka,Ranchi,36A,,,,,
,,,,,Sai Nagar Shirdi Exp.,17418,Tirupati,Sai Nagar Shiridi,"53,10A",
,Ranchi Exp,18630,Gorakhpur,Ranchi,"36A,37A",,,,,
,,,,,Sai Nagar Shirdi EXp.,18503/18504,Visakhapatnam,Sai Nagar Shirdi,"30,53A",
,Ranchi Exp,18632,Chopan,Ranchi,41,,,,,
,,,,,Sai Nagar Shirdi Exp.,22456,Kalka,Sai Nagar Shirdi,"2,27",
,Ranchi Exp,18636,Sasaram,Ranchi,41,,,,,
,,,,,Sai Nagar Shirdi Exp.,22601,MGR Chennai Central,Sai Nagar Shirdi,"10A,20",
,Ranchi Exp,18639,Ara,Ranchi,36,,,,,
,,,,,Sairang Exp,13125,Kolkata,Sairang,14,
,Ranchi Exp,22891,Howrah,Ranchi,87,,,,,
,,,,,Sake! Exp,22183/22184,Lokmanya Tilak (T),Ayodhya Cantt,6,
,Ranichannamma Exp,16589/16590,KSR Bengaluru,Sangli,19,,,,,
,,,,,Salasar Exp,22421/22422,Delhi Sarai Rohilla,Bhagat Ki Kothi,59,
,Rangiya Exp,15968,Ledo,Rangiya,66A,,,,,
,Ranikhet Exp,15013/15014,Jaisalmer,Kathaodam,"55,23",Salem Exp,22153,Chennai Egmore,Salem,21
,Ranthambhore Exp.,12465/12466,Indore,JodhPur,23,Salem Exp,16211,Yesvantpur,Salem,69
,RaptiSagar Exp,12521/12522,Barauni,Ernakulam Jn,"8,17,35,37,86",Samarsata Exp,12151/12152,Lokmanya Tilak (T),Shalimar,"5,87"
,Raptisaqar Exp,12511/12512,Gorakhpur,Thiruvanthapuram,"8,17,35,86",Samata Exp,12807/12808,Visakhapatnam,H. Nizamuddin,42
,,,,North,Sambalpur Exp,18302,Rayagada,Sambalpur,40A,
,Ratlam Exp,19328,Udaipur,Ratlam,54,Sambalpur Exp,18304,Puri,Sambalpur,78A
,Ratnachal Exp,12717/12718,Visakhapatnam,Vijayawada,7,Sambalpur Exp,18312,Banaras,Visakhapatnam,"41A,78"
,Ravi Exp,14633/14634,Amritsar,Pathankot,51,Sambalpur Exp,22803,Shalimar,Sambalpur,"7,78A"
,Raxaul Exp,17005,Hvderabad,Raxaul,"9,36,37,42",Sambaleswari Exp,18005/18006,Howrah,Jagdalpur,"5,40"
,Raxaul Exp,13043,Howrah,Raxaul,37,Sampark Kranti Exp.,12917/12918,Ahmedabad,H. Nizamuddin,3
,Raxaul Exp,15201,Hajipur,Raxaul,64,Sampark Kranti Exp.,22685/22686,Yesvantpur,Chandigarh,"9,19,27"
,Rayalaseema Exp,12793/12794,Tirupati,Nizamabad,71,Sampark Kranti Exp.,12651/12652,Madurai,H. Nizamuddin,"8,21"
,Rayaqada Exp,18301,Sambalpur,Rayagada,40,Sampark Kranti Exp.,12447/12448,Manikpur,H. Nizamuddin,56
,Rayaqada Exp,17243,Vijayawada,Rayagada,40,Sampoorna Kranti Exp.,12393/12394,Rajendra Nagar,New Delhi,1
,Renigunta Exp,22135,Mysuru,Renigunta,"10,53",Sanaamitra Exp,12295/12296,SMVT Bengaluru,Danapur,"17,20"
,Renigunta Exp,17621,Chhatrapati,Tirupati,"10,53",Sanctuary Exp,15319/15320,Paliakalan,Aishbagh,61
,,,SambhaJi Nagar,,,,,,,
,,,,,Sandra T Exp,19019,Haridwar,Bandra (T),"3,75A",
,Repalle Exp,17625,Kacheguda,Repalle,71A,,,,,
,,,,,Sangam Exp,14163/14164,Subedarganj,Meerut City,68,
,Rewa Exp,11704,Dr. Ambedkar,Rewa,43,,,,,
,,,,,Sangram Exp,22197/22198,Kolkata,Virangna Laxmibai,"35,1A",
,,,Nagar,,,,,,,
,,,,,Sant Kabir Dham Exp.,20104/20103,Gorakhpur,Lokmanya Tilak (T),35,
,Rewa Exp,12428,New Delhi,Rewa,"1,6",,,,,
,,,,,Santragachi Exp,12767,Hazur Sahib,Santragachi,"5A,53",
,Rewa Exp,22937,Rajkot,Rewa,"6,34",,,,,
,,,,,,,Nanded,,,
,Rewa Exp,18247,Bilaspur,Rewa,"43,81",,,,,
,,,,,Santragachi Exp,18010,Ajmer,Santragachi,"34,41,72",
,Rewa Exp,20151/20152,Hadapsar,Rewa,"44, 58",,,,,
,,,,,Santragachi Exp,22856,Tirupati,Santragachi,7A,
,Rewanchal Exp,12185/12186,Rewa (via Bina),Rani Kamalapati,43,,,,,
,,,,,Santragachi Exp,22858,Anand Vihar (T),Santragachi,32A,
,Rishikesh Exp,14815,Sri GangaNagar,Rishikesh,45,,,,,
,,,,,Sapt Kranti Exp,12557/12558,Muzaffarpur,Anand Vihar (T),"22,64",
,Rock Fort Exp,12653/12654,Chennai Egmore,Tiruchchirappalli,21,,,,,
,,,,,Sapthaqiri Exp,16057/16058,MGR Chennai,Tirupati,20,
,Rohilkhand Exp,15309/15310,Aishbagh,lzaat Nagar,61,,,,,
,,,,,,,Central,,,
,Rohtak Exp,14323,New Delhi,Rohtak,16,,,,,
,,,,,Saraiqhat Exp,12345/12346,Howrah,Guwahati,14,
,Rourkela Exp,18106,Jaynagar,Rourkela,"37,36A",,,,,
,,,,,Sarnath Exp,15159/15160,Chhapra,Durg,81,
,Rourkela Exp,18108,Jadalpur,Rourkela,40A,,,,,
,,,,,Sarvodaya Exp,12473/12474,Ahmedabad,Shri Mata Vaishno,"3,11,16",
,Rourkela Exp,18051/18052,Badampahar,Rourkela,5,,,,,
,,,,,,,,Devi Katra,,
,Runicha Exp,14087/14088,Delhi,Jaisalmer,23,,,,,
,,,,,Saryu Exp.,14233/14234,Prayagraj Sangam,Mankapur,"25,81",
,Rupashi Banala,12883/12884,Santragachi/,Purulia,87,,,,,
,,,,,Saryu Yamuna Exp.,14649/14650,JayaNagar,Amritsar,"15,22,25",
,Exp,,Howrah,,,,,,,
,,,,,Sasaram Exp,18635,Ranchi,Sasaram,41,
,Sabari Exp,20630/20629,Tiruvananthapuram,Secunderabad,"71,86",,,,,
,,,,,Sasaram Exp,22410,Anand Vihar (T),Sasaram,1,
,Sabarmati Exp,19165/19166,Ahmedabad,Darbhanga,"22,33",,,,,
,,,,,Satavahana Exp,12713/12714,Vijayawada,Secunderabad,71,
,Sabarmati Exp,22547/22548,Gwalior,Sabarmati,"2,23",,,,,
,,,,,Satvaaraha Exp,15273/15274,Raxaul,Anand Vihar (T),"22,64",
,Sabarmati Exp,12547/12548,Agra Cantt,Sabarmati,"23,23A",,,,,
,,,,,Saurashtra Exp,19215/19216,Mumbai Central,Porbandar,11,
TAG-26,Sabarmati Exp,19167/19168,Ahmedabad,Varanasi City,33,,,,,
,,,,,Saurashtra Janata Exp.,19217/19218,Bandra (T),Jamnagar,11,
,Sabarmati Exp,20491,Jaisalmer,Sabarmati,23,,,,,
,,,,,Saurashtra Mail/Exp.,22945/22946,Mumbai Central,Okha/Veraval,11,
,,,,,42,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Sayaji Nagari Exp,19115/19116,Bandra (T),Bhuj,11,Shatabdi Exp,12027/12028,MGR Chennai,KSR Bengaluru,20,
Sealdah Exp,12988,Ajmer,Sealdah,"23A,65",,,Central,,,
Sealdah Exp,13106,Ballia,Sealdah,37,Shatabdi Exp,12029/12032,New Delhi,Amritsar,15,
Sealdah Memu Exp,13178,Jangipur Road,Sealdah,14,Shatabdi Exp,12033/12034,New Delhi,Kanpur Central,1,
Sealdah Memu Exp,13180,Siuri,Sealdah,92,Shatabdi Exp,12039/12040,New Delhi,Kathaodam,55,
Secunderabad Exp.,12514,Silchar,Secunderabad,29,Shatabdi Exp,12041/12042,Howrah,New Jalpaiguri,14,
Secunderabad Exp.,12589,Gorakhpur,Secunderabad,"9,17,35",Shatabdi Exp,12045/12046,New Delhi,Chandigarh,27,
Secunderabad Exp.,12705,Guntur,Secunderabad,71,Shatabdi Exp,12085/12086,Guwahati,Dipruaarh,66,
Secunderabad Exp.,12749,MachiliPatnam,Bidar,30,Shatabdi Exp,12087/12088,Naharlagun,Guwahati,62,
Secunderabad Exp.,12772,Raipur,Secunderabad,9,Shatabdi Exp,12243/12244,MGR Chennai,Coimbatore,86,
Secunderabad Exp.,12773,Shalimar,Secunderabad,30,,,Central,,,
Secunderabad Exp.,12792,Danapur,Secunderabad,17,Shatabdi Exp,12277/12278,Howrah,Puri,7,
Secunderabad Exp.,12795,Vijayawada,Lingampalli,30,Sheshadri Exp,17209/17210,SMVT Bengaluru,Kakinada Town,"7,20",
Secunderabad Exp.,17001,Sai Nagar Shirdi,Secunderabad,53,Shimla Exp,52455,Kalka,Shimla,94,
Secunderabad Exp.,17008,Darbhanga,Secunderabad,"9,36,37,42",Shimla Exp,52457,Kalka,Shimla,94,
Secunderabad Exp.,22717/22718,Rajkot,Secunderabad,31,Shimla Mail,52453/52454,Kalka,Shimla,94,
Secunderabad Exp.,12745/12746,Manuguru,Secunderabad,30,ShiPra Exp,22911/22912,Indore,Howrah,65,
Secunderabad Exp.,22738,Hisar,Secunderabad,"59,23,46",Shiv Ganga Exp,12559/12560,Banaras,New Delhi,25,
Secunderabad Exp.,17040,Vasco-de-Gama,Secunderabad,"49, 52",Shivalik Exp,52451/52452,Kalka,Shimla,94,
Secunderabad Exp.,17319,SSS Hubballi,Hyderabad,"10,19,A",Shivamogga Exp,16225,Mysuru,Shivamogga Town,19,
Secunderabad Exp.,17626,Repalle,Secunderabad,71,Shivamogga Exp,16567,Tumkuru,Shivamogga Town,19A,
Secunderabad Exp.,19713,Jaipur,Kacheguda,"3,8,53",Shivamogga Exp,16581,Yeswantpur,Shivamogga Town,19A,
Secunderabad Exp.,22849,Shalimar,Secunderabad,30,Shivamogga Town Exp.,16227,KSR Bengaluru,Talguppa,19A,
Seemanchal Exp,12487/12488,Jogbani,Anand Vihar (T),18,Shivamogga Town,20689,Yesvantpur,Shivamogga Town,19A,
Seven Hills Exp,12769/12770,Tirupati,Secundrabad,52,SF Exp.,,,,,
Sewagram Exp,12139/12140,Chhatrapati Shivaji,Nagpur,5,Shraddha Sethu,22613/22614,Rameshwaram,Ayodhya Cantt,"21,17,12",
,,Maharaj (T),,,Shram Shakti Exp,12451/12452,Kanpur Central,New Delhi,1,
Shabd Bhedi Exp,22323/22324,Kolkata,Ghazipur City,12,Shramik Exp,19051/19052,Valsad,Sonpur,"22,24",
Shabd Bhedi Exp,22323/22324,Kolkata,Ghazipur City,12,Shramjeevi Exp,12391/12392,Rajgir,New Delhi,"1,25,67",
Shahdol Exp,18756,Ambikapur,Shahdol,81A,Sri Ganganagar Exp,20471/20472,Puri,Sri Ganganagar,"28,32,72,78",
Shahdol Exp,11201,Nagpur,Shahdol,58,Shri Mata Vaishno Devi,11449,Jabalpur,Shri Mata Vaishno,"16,56",
Shaheed Exp,14673/1467 4,Jaynagar,Amritsar,"15,22",Katra Exp.,,,Devi Katra,,
Shakti Punj Exp,11447/11448,Jabalpur,Howrah,73,Shri Mata Vaishno Devi,14503,Kalka,Shri Mata Vaishno,"2,16,27A",
Shalimar Exp,12888,Puri,Shalimar,7A,Katra Exp.,,,Devi Katra,,
Shalimar Exp,14662,Jammu Tawi,Barmar,23,Shri Mata Vaishno Devi,14611,Ghazipur City,Shri Mata Vaishno,73,
Shalimar Exp,12896,Puri,Shalimar,7A,Katra Exp.,,,Devi Katra,,
Shalimar Exp,12905,Porbandar,Shalimar,34,Shri Mata Vaishno Devi,15655,Kamakhya,Shri Mata Vaishno,"13,64",
Shalimar Exp,22804,Sambalpur,Shalimar,"78,7A",Katra Exp.,,,Devi Katra,,
Shalimar Exp,12774,Secunderabad,Shalimar,30A,Shri Mata Vaishno Devi,16787,Tirunelveli,Shri Mata Vaishno,"8,16A,69,86A",
Shalimar Exp,15022,Gorkhapur,Shalimar,"63,32A",Katra Exp.,,,Devi Katra,,
